"srprec","tract","block","blkreg","srtotreg","pctsrprec","blktotreg","pctblk"
"NULL","0","0","152","NULL","NULL","152","100"
"0050005A","910804","1220","2","1998","0.1001001","2","100"
"0050005A","910805","1000","8","1998","0.4004004","8","100"
"0050005A","910805","1001","30","1998","1.501501501","30","100"
"0050005A","910805","1002","38","1998","1.901901901","38","100"
"0050005A","910805","1004","15","1998","0.75075075","15","100"
"0050005A","910805","1005","4","1998","0.2002002","4","100"
"0050005A","910805","1007","162","1998","8.108108108","162","100"
"0050005A","910805","1014","3","1998","0.15015015","3","100"
"0050005A","910805","1023","3","1998","0.15015015","3","100"
"0050005A","910805","1025","4","1998","0.2002002","4","100"
"0050005A","910805","1026","6","1998","0.3003003","6","100"
"0050005A","910805","1027","18","1998","0.9009009","18","100"
"0050005A","910805","1030","3","1998","0.15015015","3","100"
"0050005A","910805","1031","122","1998","6.106106106","161","75.776397515"
"0050005A","910805","1045","41","1998","2.052052052","41","100"
"0050005A","910805","1050","58","1998","2.902902902","58","100"
"0050005A","910805","1051","30","1998","1.501501501","30","100"
"0050005A","910805","1053","2","1998","0.1001001","2","100"
"0050005A","910805","1054","7","1998","0.35035035","7","100"
"0050005A","910805","1055","6","1998","0.3003003","6","100"
"0050005A","910805","1056","71","1998","3.553553553","71","100"
"0050005A","910805","1057","21","1998","1.051051051","21","100"
"0050005A","910805","1058","30","1998","1.501501501","30","100"
"0050005A","910805","1059","37","1998","1.851851851","37","100"
"0050005A","910805","1060","12","1998","0.6006006","12","100"
"0050005A","910805","1062","64","1998","3.203203203","95","67.368421052"
"0050005A","910805","1065","14","1998","0.7007007","14","100"
"0050005A","910805","1066","17","1998","0.85085085","17","100"
"0050005A","910805","1071","1","1998","0.05005005","1","100"
"0050005A","910805","1074","24","1998","1.201201201","24","100"
"0050005A","910805","1075","34","1998","1.701701701","34","100"
"0050005A","910805","1076","2","1998","0.1001001","2","100"
"0050005A","910805","1078","26","1998","1.301301301","26","100"
"0050005A","910805","1080","8","1998","0.4004004","8","100"
"0050005A","910805","1081","46","1998","2.302302302","46","100"
"0050005A","910805","1082","8","1998","0.4004004","8","100"
"0050005A","910805","1083","10","1998","0.5005005","10","100"
"0050005A","910805","1084","6","1998","0.3003003","6","100"
"0050005A","910805","1085","8","1998","0.4004004","8","100"
"0050005A","910805","1086","11","1998","0.55055055","11","100"
"0050005A","910805","1088","13","1998","0.65065065","13","100"
"0050005A","910805","1089","12","1998","0.6006006","12","100"
"0050005A","910805","1090","13","1998","0.65065065","13","100"
"0050005A","910805","1091","16","1998","0.8008008","16","100"
"0050005A","910805","1092","9","1998","0.45045045","9","100"
"0050005A","910805","1093","35","1998","1.751751751","35","100"
"0050005A","910805","1098","2","1998","0.1001001","2","100"
"0050005A","910805","1100","2","1998","0.1001001","2","100"
"0050005A","910805","1101","10","1998","0.5005005","10","100"
"0050005A","910805","1104","5","1998","0.25025025","5","100"
"0050005A","910805","1117","10","1998","0.5005005","10","100"
"0050005A","910805","2007","9","1998","0.45045045","9","100"
